dataset_id,cycle,cycle_start,cycle_end,component,file_id,exam,analysis_role,record_level,merge_key,expected_rows,url
cbc_1999_2000_primary,1999-2000,1999,2000,cbc,LAB25,primary,primary,person,SEQN,8832,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB25.xpt
demo_1999_2000,1999-2000,1999,2000,demographics,DEMO,not_applicable,primary,person,SEQN,9965,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt
cbc_2001_2002_primary,2001-2002,2001,2002,cbc,L25_B,primary,primary,person,SEQN,9929,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L25_B.xpt
cbc_2001_2002_second,2001-2002,2001,2002,cbc,L25_2_B,second,supplementary,person,SEQN,557,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L25_2_B.xpt
demo_2001_2002,2001-2002,2001,2002,demographics,DEMO_B,not_applicable,primary,person,SEQN,11039,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.xpt
cbc_2003_2004_primary,2003-2004,2003,2004,cbc,L25_C,primary,primary,person,SEQN,9179,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L25_C.xpt
demo_2003_2004,2003-2004,2003,2004,demographics,DEMO_C,not_applicable,primary,person,SEQN,10122,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.xpt
cbc_2005_2006_primary,2005-2006,2005,2006,cbc,CBC_D,primary,primary,person,SEQN,9440,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/CBC_D.xpt
demo_2005_2006,2005-2006,2005,2006,demographics,DEMO_D,not_applicable,primary,person,SEQN,10348,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.xpt
cbc_2007_2008_primary,2007-2008,2007,2008,cbc,CBC_E,primary,primary,person,SEQN,9307,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/CBC_E.xpt
demo_2007_2008,2007-2008,2007,2008,demographics,DEMO_E,not_applicable,primary,person,SEQN,10149,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.xpt
cbc_2009_2010_primary,2009-2010,2009,2010,cbc,CBC_F,primary,primary,person,SEQN,9835,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/CBC_F.xpt
demo_2009_2010,2009-2010,2009,2010,demographics,DEMO_F,not_applicable,primary,person,SEQN,10537,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.xpt
cbc_2011_2012_primary,2011-2012,2011,2012,cbc,CBC_G,primary,primary,person,SEQN,8956,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/CBC_G.xpt
demo_2011_2012,2011-2012,2011,2012,demographics,DEMO_G,not_applicable,primary,person,SEQN,9756,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DEMO_G.xpt
cbc_2013_2014_primary,2013-2014,2013,2014,cbc,CBC_H,primary,primary,person,SEQN,9422,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/CBC_H.xpt
demo_2013_2014,2013-2014,2013,2014,demographics,DEMO_H,not_applicable,primary,person,SEQN,10175,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.xpt
cbc_2015_2016_primary,2015-2016,2015,2016,cbc,CBC_I,primary,primary,person,SEQN,9165,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/CBC_I.xpt
demo_2015_2016,2015-2016,2015,2016,demographics,DEMO_I,not_applicable,primary,person,SEQN,9971,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.xpt
cbc_2017_2018_primary,2017-2018,2017,2018,cbc,CBC_J,primary,primary,person,SEQN,8366,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/CBC_J.xpt
demo_2017_2018,2017-2018,2017,2018,demographics,DEMO_J,not_applicable,primary,person,SEQN,9254,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.xpt
